price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,317,258 ONO",2317258.0,"435 Railway St, Clareville NSW 2734",Clareville,4,4,2,Townhouse,https://www.rent.com.au/property/clareville/townhouse-0,rent.com.au
"$2,266,775 - $2,558,956",2266775.0,"407 Elizabeth St, Clareville NSW 2954",Clareville,0,1,4,Studio,https://www.realestate.com.au/property/clareville/studio-1,realestate.com.au
"From $2,433,179",2433179.0,"686 Victoria St, Clareville NSW 2856",Clareville,0,1,1,Studio,https://www.rent.com.au/property/clareville/studio-2,rent.com.au
"$1,436,881 - $1,583,780",1436881.0,"347 Market St, Clareville NSW 2619",Clareville,1,1,1,Villa,https://www.realestateview.com.au/property/clareville/villa-3,realestateview.com.au
"$1,284,223",1284223.0,"896 Princes Highway, Clareville NSW 2727",Clareville,3,2,0,Penthouse,https://www.rent.com.au/property/clareville/penthouse-4,rent.com.au
"Guide $1,227,456",1227456.0,"70 William St, Clareville NSW 2251",Clareville,3,1,2,House,https://www.rent.com.au/property/clareville/house-5,rent.com.au
"$1,468,540 ONO",1468540.0,"958 Main St, Clareville NSW 2709",Clareville,3,3,1,Penthouse,https://www.realestate.com.au/property/clareville/penthouse-6,realestate.com.au
"$1,450,877 - $1,750,656",1450877.0,"260 Pacific Highway, Clareville NSW 2489",Clareville,6,4,0,Penthouse,https://www.rent.com.au/property/clareville/penthouse-7,rent.com.au
"From $1,642,857",1642857.0,"890 Princes Highway, Clareville NSW 2900",Clareville,3,1,3,House,https://www.rent.com.au/property/clareville/house-8,rent.com.au
"From $1,800,335",1800335.0,"859 Albert St, Clareville NSW 2831",Clareville,4,4,2,Villa,https://www.rent.com.au/property/clareville/villa-9,rent.com.au
"$2,221,387",2221387.0,"792 The Boulevarde, Clareville NSW 2205",Clareville,3,2,1,House,https://www.realestate.com.au/property/clareville/house-10,realestate.com.au
"Guide $1,073,372",1073372.0,"858 High St, Clareville NSW 2051",Clareville,3,3,4,Villa,https://www.rent.com.au/property/clareville/villa-11,rent.com.au
"$2,026,001 - $2,090,140",2026001.0,"877 Military Rd, Clareville NSW 2313",Clareville,0,1,4,Studio,https://www.realestate.com.au/property/clareville/studio-12,realestate.com.au
"$933,840 ONO",933840.0,"37 Elizabeth St, Clareville NSW 2974",Clareville,3,1,1,Villa,https://www.rent.com.au/property/clareville/villa-13,rent.com.au
"$1,970,908",1970908.0,"882 The Boulevarde, Clareville NSW 2701",Clareville,6,3,3,Penthouse,https://www.realestateview.com.au/property/clareville/penthouse-14,realestateview.com.au
"$941,745 ONO",941745.0,"861 The Boulevarde, Clareville NSW 2528",Clareville,0,1,0,Studio,https://www.domain.com.au/property/clareville/studio-15,domain.com.au
"$1,090,470 ONO",1090470.0,"111 Elizabeth St, Clareville NSW 2712",Clareville,3,4,0,Penthouse,https://www.domain.com.au/property/clareville/penthouse-16,domain.com.au
"From $2,010,501",2010501.0,"426 Park Ave, Clareville NSW 2963",Clareville,3,4,0,House,https://www.realestateview.com.au/property/clareville/house-17,realestateview.com.au
"$1,173,847 ONO",1173847.0,"928 Ocean Rd, Clareville NSW 2212",Clareville,2,2,1,Townhouse,https://www.rent.com.au/property/clareville/townhouse-18,rent.com.au
"$862,628",862628.0,"518 Victoria St, Clareville NSW 2055",Clareville,4,2,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/clareville/apartment--unit--flat-19,realestateview.com.au
"$2,392,963 ONO",2392963.0,"681 Military Rd, Clareville NSW 2408",Clareville,2,1,2,House,https://www.realestateview.com.au/property/clareville/house-21,realestateview.com.au
"$2,056,164 - $2,141,232",2056164.0,"739 Pacific Highway, Clareville NSW 2639",Clareville,5,2,2,Penthouse,https://www.realestate.com.au/property/clareville/penthouse-22,realestate.com.au
"$1,370,962",1370962.0,"101 King St, Clareville NSW 2010",Clareville,6,2,4,Penthouse,https://www.realestateview.com.au/property/clareville/penthouse-23,realestateview.com.au
"$2,427,086 ONO",2427086.0,"521 King St, Clareville NSW 2924",Clareville,3,1,1,Townhouse,https://www.realestate.com.au/property/clareville/townhouse-24,realestate.com.au
