price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,251,576",2251576.0,"641 Church St, Kellyville Ridge NSW 2761",Kellyville Ridge,2,3,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/kellyville-ridge/apartment--unit--flat-0,realestate.com.au
"$616,449 ONO",616449.0,"602 Beach Rd, Kellyville Ridge NSW 2131",Kellyville Ridge,1,2,0,Townhouse,https://www.rent.com.au/property/kellyville-ridge/townhouse-1,rent.com.au
"Guide $1,436,432",1436432.0,"234 Elizabeth St, Kellyville Ridge NSW 2476",Kellyville Ridge,4,3,3,Penthouse,https://www.realestate.com.au/property/kellyville-ridge/penthouse-2,realestate.com.au
"$1,335,005",1335005.0,"491 George St, Kellyville Ridge NSW 2339",Kellyville Ridge,6,2,2,Penthouse,https://www.realestateview.com.au/property/kellyville-ridge/penthouse-3,realestateview.com.au
"$958,586",958586.0,"149 High St, Kellyville Ridge NSW 2069",Kellyville Ridge,1,2,3,Apartment / Unit / Flat,https://www.rent.com.au/property/kellyville-ridge/apartment--unit--flat-4,rent.com.au
"$1,904,274 - $2,146,712",1904274.0,"747 Park Ave, Kellyville Ridge NSW 2595",Kellyville Ridge,1,2,2,House,https://www.realestate.com.au/property/kellyville-ridge/house-5,realestate.com.au
"$1,090,460",1090460.0,"29 Queen St, Kellyville Ridge NSW 2058",Kellyville Ridge,4,4,0,Penthouse,https://www.realestate.com.au/property/kellyville-ridge/penthouse-6,realestate.com.au
"From $2,432,339",2432339.0,"565 Edward St, Kellyville Ridge NSW 2445",Kellyville Ridge,1,1,0,Townhouse,https://www.domain.com.au/property/kellyville-ridge/townhouse-7,domain.com.au
"$2,462,659",2462659.0,"678 Pacific Highway, Kellyville Ridge NSW 2530",Kellyville Ridge,6,4,0,Villa,https://www.realestateview.com.au/property/kellyville-ridge/villa-8,realestateview.com.au
"Guide $859,138",859138.0,"97 High St, Kellyville Ridge NSW 2392",Kellyville Ridge,2,2,3,Apartment / Unit / Flat,https://www.domain.com.au/property/kellyville-ridge/apartment--unit--flat-11,domain.com.au
"$2,402,037",2402037.0,"557 Market St, Kellyville Ridge NSW 2222",Kellyville Ridge,2,2,1,Villa,https://www.rent.com.au/property/kellyville-ridge/villa-12,rent.com.au
"$1,965,323 ONO",1965323.0,"242 Church St, Kellyville Ridge NSW 2370",Kellyville Ridge,3,4,0,Villa,https://www.rent.com.au/property/kellyville-ridge/villa-13,rent.com.au
"Guide $645,682",645682.0,"252 William St, Kellyville Ridge NSW 2800",Kellyville Ridge,6,3,0,Penthouse,https://www.rent.com.au/property/kellyville-ridge/penthouse-14,rent.com.au
"$1,830,184 ONO",1830184.0,"985 Beach Rd, Kellyville Ridge NSW 2018",Kellyville Ridge,3,4,1,House,https://www.realestate.com.au/property/kellyville-ridge/house-16,realestate.com.au
"$831,571",831571.0,"35 Park Ave, Kellyville Ridge NSW 2251",Kellyville Ridge,4,4,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/kellyville-ridge/apartment--unit--flat-17,realestate.com.au
"$1,561,593 ONO",1561593.0,"361 Military Rd, Kellyville Ridge NSW 2352",Kellyville Ridge,6,3,2,Penthouse,https://www.realestateview.com.au/property/kellyville-ridge/penthouse-18,realestateview.com.au
"$1,785,551 - $1,975,761",1785551.0,"708 James St, Kellyville Ridge NSW 2112",Kellyville Ridge,2,3,2,House,https://www.realestateview.com.au/property/kellyville-ridge/house-19,realestateview.com.au
"$1,820,206",1820206.0,"533 Queen St, Kellyville Ridge NSW 2945",Kellyville Ridge,2,1,2,House,https://www.rent.com.au/property/kellyville-ridge/house-20,rent.com.au
"$1,137,266 - $1,387,135",1137266.0,"245 Market St, Kellyville Ridge NSW 2482",Kellyville Ridge,0,1,2,Studio,https://www.rent.com.au/property/kellyville-ridge/studio-21,rent.com.au
"$2,225,736",2225736.0,"134 Ocean Rd, Kellyville Ridge NSW 2497",Kellyville Ridge,2,3,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/kellyville-ridge/apartment--unit--flat-22,realestateview.com.au
"Guide $1,251,663",1251663.0,"710 Railway St, Kellyville Ridge NSW 2771",Kellyville Ridge,1,2,0,House,https://www.rent.com.au/property/kellyville-ridge/house-23,rent.com.au
"$2,268,223 ONO",2268223.0,"230 Edward St, Kellyville Ridge NSW 2625",Kellyville Ridge,0,1,4,Studio,https://www.domain.com.au/property/kellyville-ridge/studio-24,domain.com.au
