price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,921,284 - $2,144,793",1921284.0,"493 Queen St, Shalvey NSW 2580",Shalvey,2,1,2,House,https://www.realestateview.com.au/property/shalvey/house-0,realestateview.com.au
"$615,789 ONO",615789.0,"808 The Boulevarde, Shalvey NSW 2814",Shalvey,4,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/shalvey/apartment--unit--flat-1,realestateview.com.au
"Guide $932,719",932719.0,"544 High St, Shalvey NSW 2759",Shalvey,4,1,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/shalvey/apartment--unit--flat-3,realestate.com.au
"$1,617,092 - $1,916,581",1617092.0,"601 Church St, Shalvey NSW 2258",Shalvey,2,2,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/shalvey/apartment--unit--flat-4,realestate.com.au
"Guide $924,827",924827.0,"207 George St, Shalvey NSW 2764",Shalvey,0,1,2,Studio,https://www.rent.com.au/property/shalvey/studio-5,rent.com.au
"$1,491,087",1491087.0,"155 Military Rd, Shalvey NSW 2985",Shalvey,5,3,2,House,https://www.realestate.com.au/property/shalvey/house-6,realestate.com.au
"$1,650,229 ONO",1650229.0,"192 Pacific Highway, Shalvey NSW 2724",Shalvey,3,1,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/shalvey/apartment--unit--flat-7,realestate.com.au
"$1,763,322 - $1,905,118",1763322.0,"977 James St, Shalvey NSW 2270",Shalvey,2,3,1,Villa,https://www.realestateview.com.au/property/shalvey/villa-9,realestateview.com.au
"$712,096",712096.0,"897 William St, Shalvey NSW 2121",Shalvey,4,3,1,Apartment / Unit / Flat,https://www.rent.com.au/property/shalvey/apartment--unit--flat-10,rent.com.au
"From $1,800,500",1800500.0,"759 Beach Rd, Shalvey NSW 2001",Shalvey,3,3,3,Penthouse,https://www.realestateview.com.au/property/shalvey/penthouse-12,realestateview.com.au
"From $2,380,684",2380684.0,"438 Beach Rd, Shalvey NSW 2268",Shalvey,3,3,1,Villa,https://www.domain.com.au/property/shalvey/villa-13,domain.com.au
"Guide $2,468,497",2468497.0,"860 Market St, Shalvey NSW 2615",Shalvey,4,2,1,Townhouse,https://www.domain.com.au/property/shalvey/townhouse-14,domain.com.au
"Guide $2,370,955",2370955.0,"613 Church St, Shalvey NSW 2021",Shalvey,0,1,1,Studio,https://www.domain.com.au/property/shalvey/studio-15,domain.com.au
"Guide $1,028,738",1028738.0,"623 George St, Shalvey NSW 2731",Shalvey,3,1,3,House,https://www.rent.com.au/property/shalvey/house-16,rent.com.au
"$1,485,680",1485680.0,"649 Church St, Shalvey NSW 2008",Shalvey,0,1,1,Studio,https://www.domain.com.au/property/shalvey/studio-17,domain.com.au
"From $1,788,515",1788515.0,"318 Queen St, Shalvey NSW 2645",Shalvey,5,4,2,Penthouse,https://www.rent.com.au/property/shalvey/penthouse-18,rent.com.au
"Guide $954,048",954048.0,"472 Queen St, Shalvey NSW 2822",Shalvey,1,1,0,Townhouse,https://www.domain.com.au/property/shalvey/townhouse-19,domain.com.au
"$1,528,450 ONO",1528450.0,"123 Princes Highway, Shalvey NSW 2350",Shalvey,3,1,0,House,https://www.rent.com.au/property/shalvey/house-20,rent.com.au
"$2,158,217",2158217.0,"693 Queen St, Shalvey NSW 2474",Shalvey,0,1,2,Studio,https://www.domain.com.au/property/shalvey/studio-21,domain.com.au
"Guide $1,484,881",1484881.0,"889 Main St, Shalvey NSW 2441",Shalvey,2,1,2,House,https://www.rent.com.au/property/shalvey/house-22,rent.com.au
"From $1,848,245",1848245.0,"427 William St, Shalvey NSW 2412",Shalvey,3,3,3,House,https://www.domain.com.au/property/shalvey/house-23,domain.com.au
"Guide $2,093,832",2093832.0,"974 Edward St, Shalvey NSW 2288",Shalvey,6,2,1,Penthouse,https://www.rent.com.au/property/shalvey/penthouse-24,rent.com.au
