price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,117,944",1117944.0,"680 Albert St, Undercliffe NSW 2971",Undercliffe,3,2,0,Villa,https://www.rent.com.au/property/undercliffe/villa-1,rent.com.au
"$2,196,635 ONO",2196635.0,"337 Ocean Rd, Undercliffe NSW 2751",Undercliffe,2,2,2,Townhouse,https://www.realestate.com.au/property/undercliffe/townhouse-2,realestate.com.au
"From $2,436,202",2436202.0,"38 James St, Undercliffe NSW 2795",Undercliffe,0,1,2,Studio,https://www.rent.com.au/property/undercliffe/studio-3,rent.com.au
"Guide $2,015,697",2015697.0,"420 Church St, Undercliffe NSW 2194",Undercliffe,3,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/undercliffe/apartment--unit--flat-4,realestate.com.au
"$1,965,688 - $2,102,835",1965688.0,"111 Pacific Highway, Undercliffe NSW 2343",Undercliffe,3,3,1,Penthouse,https://www.domain.com.au/property/undercliffe/penthouse-5,domain.com.au
"$2,059,471",2059471.0,"734 Albert St, Undercliffe NSW 2690",Undercliffe,0,1,1,Studio,https://www.domain.com.au/property/undercliffe/studio-6,domain.com.au
"$1,446,386",1446386.0,"253 James St, Undercliffe NSW 2644",Undercliffe,3,1,0,Villa,https://www.domain.com.au/property/undercliffe/villa-7,domain.com.au
"From $2,169,171",2169171.0,"369 Elizabeth St, Undercliffe NSW 2215",Undercliffe,4,2,0,House,https://www.realestateview.com.au/property/undercliffe/house-9,realestateview.com.au
"$1,946,496 ONO",1946496.0,"757 Church St, Undercliffe NSW 2963",Undercliffe,3,2,0,Villa,https://www.realestateview.com.au/property/undercliffe/villa-10,realestateview.com.au
"Guide $2,161,385",2161385.0,"198 Princes Highway, Undercliffe NSW 2690",Undercliffe,5,2,0,Townhouse,https://www.realestate.com.au/property/undercliffe/townhouse-11,realestate.com.au
"$1,978,265 - $2,271,579",1978265.0,"206 Park Ave, Undercliffe NSW 2589",Undercliffe,2,1,2,Villa,https://www.realestateview.com.au/property/undercliffe/villa-12,realestateview.com.au
"From $1,244,576",1244576.0,"925 Main St, Undercliffe NSW 2268",Undercliffe,4,2,2,Townhouse,https://www.domain.com.au/property/undercliffe/townhouse-13,domain.com.au
"$1,977,685 ONO",1977685.0,"439 Elizabeth St, Undercliffe NSW 2497",Undercliffe,4,2,1,Penthouse,https://www.realestate.com.au/property/undercliffe/penthouse-14,realestate.com.au
"$1,672,735 ONO",1672735.0,"650 William St, Undercliffe NSW 2572",Undercliffe,5,4,2,Villa,https://www.domain.com.au/property/undercliffe/villa-15,domain.com.au
"From $1,072,222",1072222.0,"27 Military Rd, Undercliffe NSW 2916",Undercliffe,2,1,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/undercliffe/apartment--unit--flat-16,realestate.com.au
"$2,232,539 - $2,355,037",2232539.0,"197 Edward St, Undercliffe NSW 2045",Undercliffe,0,1,0,Studio,https://www.domain.com.au/property/undercliffe/studio-17,domain.com.au
"$1,205,630 - $1,273,533",1205630.0,"591 Ocean Rd, Undercliffe NSW 2225",Undercliffe,4,4,4,Villa,https://www.realestate.com.au/property/undercliffe/villa-18,realestate.com.au
"From $2,198,735",2198735.0,"745 The Boulevarde, Undercliffe NSW 2533",Undercliffe,3,1,0,Villa,https://www.realestate.com.au/property/undercliffe/villa-19,realestate.com.au
"$1,806,471 ONO",1806471.0,"65 Market St, Undercliffe NSW 2459",Undercliffe,1,1,0,Townhouse,https://www.realestate.com.au/property/undercliffe/townhouse-20,realestate.com.au
"$1,664,026 ONO",1664026.0,"323 High St, Undercliffe NSW 2805",Undercliffe,3,4,0,Townhouse,https://www.realestate.com.au/property/undercliffe/townhouse-21,realestate.com.au
"$1,088,201 ONO",1088201.0,"193 Elizabeth St, Undercliffe NSW 2478",Undercliffe,4,4,2,Villa,https://www.rent.com.au/property/undercliffe/villa-22,rent.com.au
"Guide $1,806,220",1806220.0,"160 Princes Highway, Undercliffe NSW 2863",Undercliffe,1,2,2,Villa,https://www.domain.com.au/property/undercliffe/villa-23,domain.com.au
