price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,223,146 - $2,521,521",2223146.0,"75 High St, Scotland Island NSW 2559",Scotland Island,0,1,1,Studio,https://www.rent.com.au/property/scotland-island/studio-0,rent.com.au
"$1,767,270 - $2,026,179",1767270.0,"894 William St, Scotland Island NSW 2892",Scotland Island,3,1,2,Townhouse,https://www.domain.com.au/property/scotland-island/townhouse-1,domain.com.au
"$748,027",748027.0,"830 Military Rd, Scotland Island NSW 2325",Scotland Island,0,1,1,Studio,https://www.rent.com.au/property/scotland-island/studio-2,rent.com.au
"$1,216,485",1216485.0,"386 Military Rd, Scotland Island NSW 2937",Scotland Island,4,2,2,Townhouse,https://www.domain.com.au/property/scotland-island/townhouse-3,domain.com.au
"From $1,082,620",1082620.0,"897 Victoria St, Scotland Island NSW 2097",Scotland Island,0,1,1,Studio,https://www.rent.com.au/property/scotland-island/studio-4,rent.com.au
"From $671,796",671796.0,"116 Church St, Scotland Island NSW 2449",Scotland Island,2,2,3,Apartment / Unit / Flat,https://www.rent.com.au/property/scotland-island/apartment--unit--flat-6,rent.com.au
"$2,077,567",2077567.0,"724 The Boulevarde, Scotland Island NSW 2332",Scotland Island,2,2,2,House,https://www.realestateview.com.au/property/scotland-island/house-7,realestateview.com.au
"From $1,041,779",1041779.0,"226 The Boulevarde, Scotland Island NSW 2319",Scotland Island,2,2,1,Apartment / Unit / Flat,https://www.rent.com.au/property/scotland-island/apartment--unit--flat-8,rent.com.au
"From $675,659",675659.0,"275 Elizabeth St, Scotland Island NSW 2699",Scotland Island,3,2,1,House,https://www.realestate.com.au/property/scotland-island/house-10,realestate.com.au
"$847,335 - $1,128,733",847335.0,"211 High St, Scotland Island NSW 2577",Scotland Island,4,4,0,Villa,https://www.domain.com.au/property/scotland-island/villa-11,domain.com.au
"$1,850,186 ONO",1850186.0,"830 Church St, Scotland Island NSW 2578",Scotland Island,6,2,0,Penthouse,https://www.rent.com.au/property/scotland-island/penthouse-12,rent.com.au
"$584,391 ONO",584391.0,"466 Market St, Scotland Island NSW 2651",Scotland Island,0,1,2,Studio,https://www.realestateview.com.au/property/scotland-island/studio-13,realestateview.com.au
"Guide $1,808,385",1808385.0,"225 Edward St, Scotland Island NSW 2663",Scotland Island,2,2,1,Villa,https://www.rent.com.au/property/scotland-island/villa-14,rent.com.au
"$1,533,385 - $1,624,333",1533385.0,"965 Ocean Rd, Scotland Island NSW 2894",Scotland Island,2,2,1,Villa,https://www.realestateview.com.au/property/scotland-island/villa-15,realestateview.com.au
"$2,322,694",2322694.0,"602 Park Ave, Scotland Island NSW 2368",Scotland Island,4,2,3,Apartment / Unit / Flat,https://www.domain.com.au/property/scotland-island/apartment--unit--flat-16,domain.com.au
"From $1,983,339",1983339.0,"162 William St, Scotland Island NSW 2105",Scotland Island,2,3,1,Villa,https://www.rent.com.au/property/scotland-island/villa-17,rent.com.au
"$1,650,507 ONO",1650507.0,"605 James St, Scotland Island NSW 2584",Scotland Island,2,3,2,Townhouse,https://www.realestate.com.au/property/scotland-island/townhouse-19,realestate.com.au
"$562,234 - $624,245",562234.0,"272 High St, Scotland Island NSW 2706",Scotland Island,2,3,2,Townhouse,https://www.realestate.com.au/property/scotland-island/townhouse-20,realestate.com.au
"$1,946,587",1946587.0,"969 Market St, Scotland Island NSW 2319",Scotland Island,6,2,0,Penthouse,https://www.realestate.com.au/property/scotland-island/penthouse-21,realestate.com.au
"From $1,425,150",1425150.0,"989 Pacific Highway, Scotland Island NSW 2726",Scotland Island,5,1,3,House,https://www.domain.com.au/property/scotland-island/house-22,domain.com.au
"$1,890,214 - $2,068,374",1890214.0,"980 Edward St, Scotland Island NSW 2428",Scotland Island,2,1,1,Villa,https://www.rent.com.au/property/scotland-island/villa-24,rent.com.au
