price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,929,256 - $3,000,456",2929256.0,"120 Edward St, Palm Beach NSW 2325",Palm Beach,5,4,0,Penthouse,https://www.realestate.com.au/property/palm-beach/penthouse-0,realestate.com.au
"$2,250,403 - $2,537,518",2250403.0,"491 William St, Palm Beach NSW 2219",Palm Beach,0,1,2,Studio,https://www.realestateview.com.au/property/palm-beach/studio-1,realestateview.com.au
"$2,649,553 ONO",2649553.0,"474 Princes Highway, Palm Beach NSW 2924",Palm Beach,4,2,1,Penthouse,https://www.domain.com.au/property/palm-beach/penthouse-2,domain.com.au
"Guide $1,806,421",1806421.0,"159 Edward St, Palm Beach NSW 2921",Palm Beach,0,1,1,Studio,https://www.realestate.com.au/property/palm-beach/studio-3,realestate.com.au
"$2,572,913 - $2,711,325",2572913.0,"382 Main St, Palm Beach NSW 2795",Palm Beach,5,2,1,Penthouse,https://www.rent.com.au/property/palm-beach/penthouse-4,rent.com.au
"$3,502,093 ONO",3502093.0,"243 Ocean Rd, Palm Beach NSW 2397",Palm Beach,0,1,0,Studio,https://www.realestate.com.au/property/palm-beach/studio-5,realestate.com.au
"$1,481,189 ONO",1481189.0,"91 Ocean Rd, Palm Beach NSW 2810",Palm Beach,5,3,2,Penthouse,https://www.realestateview.com.au/property/palm-beach/penthouse-6,realestateview.com.au
"From $3,391,695",3391695.0,"353 King St, Palm Beach NSW 2988",Palm Beach,3,2,0,Villa,https://www.realestateview.com.au/property/palm-beach/villa-7,realestateview.com.au
"$2,283,674",2283674.0,"459 High St, Palm Beach NSW 2262",Palm Beach,3,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/palm-beach/apartment--unit--flat-8,rent.com.au
"Guide $2,408,749",2408749.0,"209 Park Ave, Palm Beach NSW 2451",Palm Beach,3,2,0,Penthouse,https://www.rent.com.au/property/palm-beach/penthouse-9,rent.com.au
"$991,999 ONO",991999.0,"536 Queen St, Palm Beach NSW 2896",Palm Beach,3,2,3,Penthouse,https://www.realestate.com.au/property/palm-beach/penthouse-10,realestate.com.au
"$1,305,306 ONO",1305306.0,"327 Ocean Rd, Palm Beach NSW 2039",Palm Beach,6,4,2,Penthouse,https://www.domain.com.au/property/palm-beach/penthouse-11,domain.com.au
"$2,336,700 ONO",2336700.0,"102 King St, Palm Beach NSW 2704",Palm Beach,0,1,2,Studio,https://www.domain.com.au/property/palm-beach/studio-12,domain.com.au
"$3,155,696 ONO",3155696.0,"448 Military Rd, Palm Beach NSW 2763",Palm Beach,3,1,0,Villa,https://www.realestate.com.au/property/palm-beach/villa-13,realestate.com.au
"From $2,288,128",2288128.0,"123 James St, Palm Beach NSW 2208",Palm Beach,4,3,2,Penthouse,https://www.realestateview.com.au/property/palm-beach/penthouse-14,realestateview.com.au
"$3,424,679",3424679.0,"695 Pacific Highway, Palm Beach NSW 2776",Palm Beach,0,1,0,Studio,https://www.realestate.com.au/property/palm-beach/studio-15,realestate.com.au
"$2,712,393 - $2,820,813",2712393.0,"599 Pacific Highway, Palm Beach NSW 2030",Palm Beach,3,1,1,Villa,https://www.realestateview.com.au/property/palm-beach/villa-16,realestateview.com.au
"Guide $1,814,389",1814389.0,"14 Railway St, Palm Beach NSW 2023",Palm Beach,5,2,0,Penthouse,https://www.realestate.com.au/property/palm-beach/penthouse-17,realestate.com.au
"$938,428 - $1,049,818",938428.0,"753 The Boulevarde, Palm Beach NSW 2474",Palm Beach,3,4,1,Apartment / Unit / Flat,https://www.domain.com.au/property/palm-beach/apartment--unit--flat-19,domain.com.au
"$2,060,209 ONO",2060209.0,"536 Victoria St, Palm Beach NSW 2304",Palm Beach,6,2,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/palm-beach/apartment--unit--flat-20,realestate.com.au
"$3,832,576 - $4,107,674",3832576.0,"291 Victoria St, Palm Beach NSW 2562",Palm Beach,0,1,0,Studio,https://www.rent.com.au/property/palm-beach/studio-21,rent.com.au
"$1,483,128 ONO",1483128.0,"366 Victoria St, Palm Beach NSW 2730",Palm Beach,4,3,2,Penthouse,https://www.realestateview.com.au/property/palm-beach/penthouse-22,realestateview.com.au
"From $2,446,389",2446389.0,"87 William St, Palm Beach NSW 2278",Palm Beach,1,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/palm-beach/apartment--unit--flat-24,realestateview.com.au
