price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $2,026,463",2026463.0,"98 James St, Eveleigh NSW 2792",Eveleigh,2,3,1,Villa,https://www.rent.com.au/property/eveleigh/villa-0,rent.com.au
"From $697,438",697438.0,"571 Church St, Eveleigh NSW 2052",Eveleigh,3,1,3,Villa,https://www.realestateview.com.au/property/eveleigh/villa-1,realestateview.com.au
"$1,756,398 - $2,044,651",1756398.0,"841 Edward St, Eveleigh NSW 2439",Eveleigh,2,3,1,Villa,https://www.domain.com.au/property/eveleigh/villa-2,domain.com.au
"From $1,902,522",1902522.0,"418 Park Ave, Eveleigh NSW 2706",Eveleigh,5,3,3,Penthouse,https://www.realestate.com.au/property/eveleigh/penthouse-3,realestate.com.au
"Guide $2,112,638",2112638.0,"831 Victoria St, Eveleigh NSW 2251",Eveleigh,0,1,1,Studio,https://www.rent.com.au/property/eveleigh/studio-4,rent.com.au
"$2,011,197 - $2,119,368",2011197.0,"294 Ocean Rd, Eveleigh NSW 2501",Eveleigh,3,4,2,Penthouse,https://www.rent.com.au/property/eveleigh/penthouse-5,rent.com.au
"$898,022 - $1,192,743",898022.0,"64 Queen St, Eveleigh NSW 2539",Eveleigh,2,3,1,House,https://www.domain.com.au/property/eveleigh/house-7,domain.com.au
"Guide $2,368,650",2368650.0,"203 Queen St, Eveleigh NSW 2829",Eveleigh,4,4,0,Penthouse,https://www.realestate.com.au/property/eveleigh/penthouse-9,realestate.com.au
"Guide $1,221,458",1221458.0,"909 Princes Highway, Eveleigh NSW 2782",Eveleigh,1,1,3,Apartment / Unit / Flat,https://www.domain.com.au/property/eveleigh/apartment--unit--flat-10,domain.com.au
"$824,024 - $998,923",824024.0,"424 Main St, Eveleigh NSW 2686",Eveleigh,2,3,2,Townhouse,https://www.realestate.com.au/property/eveleigh/townhouse-11,realestate.com.au
"$680,572 - $796,531",680572.0,"762 Pacific Highway, Eveleigh NSW 2716",Eveleigh,5,3,0,Penthouse,https://www.realestateview.com.au/property/eveleigh/penthouse-12,realestateview.com.au
"$886,278 - $1,105,421",886278.0,"233 Pacific Highway, Eveleigh NSW 2190",Eveleigh,2,2,2,Villa,https://www.realestateview.com.au/property/eveleigh/villa-13,realestateview.com.au
"$1,896,788 - $2,099,688",1896788.0,"842 William St, Eveleigh NSW 2404",Eveleigh,2,1,1,House,https://www.realestateview.com.au/property/eveleigh/house-14,realestateview.com.au
"Guide $1,129,617",1129617.0,"521 Ocean Rd, Eveleigh NSW 2230",Eveleigh,0,1,1,Studio,https://www.domain.com.au/property/eveleigh/studio-16,domain.com.au
"$897,367 - $1,155,220",897367.0,"677 The Boulevarde, Eveleigh NSW 2591",Eveleigh,4,3,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/eveleigh/apartment--unit--flat-17,realestate.com.au
"From $1,867,181",1867181.0,"272 Victoria St, Eveleigh NSW 2172",Eveleigh,2,2,0,Townhouse,https://www.rent.com.au/property/eveleigh/townhouse-18,rent.com.au
"Guide $2,273,282",2273282.0,"597 Market St, Eveleigh NSW 2344",Eveleigh,5,2,3,Penthouse,https://www.rent.com.au/property/eveleigh/penthouse-19,rent.com.au
"$1,347,530 - $1,533,585",1347530.0,"884 Church St, Eveleigh NSW 2265",Eveleigh,2,3,2,Townhouse,https://www.realestate.com.au/property/eveleigh/townhouse-20,realestate.com.au
"$1,828,156 - $2,069,266",1828156.0,"899 Main St, Eveleigh NSW 2490",Eveleigh,2,3,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/eveleigh/apartment--unit--flat-21,realestateview.com.au
"$1,241,255",1241255.0,"538 Pacific Highway, Eveleigh NSW 2691",Eveleigh,3,2,0,Villa,https://www.domain.com.au/property/eveleigh/villa-22,domain.com.au
"$1,513,239 ONO",1513239.0,"232 William St, Eveleigh NSW 2196",Eveleigh,0,1,0,Studio,https://www.rent.com.au/property/eveleigh/studio-23,rent.com.au
"From $2,358,186",2358186.0,"114 Market St, Eveleigh NSW 2797",Eveleigh,0,1,1,Studio,https://www.realestateview.com.au/property/eveleigh/studio-24,realestateview.com.au
