price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,133,366",1133366.0,"247 Victoria St, Kyle Bay NSW 2119",Kyle Bay,4,2,1,Penthouse,https://www.realestateview.com.au/property/kyle-bay/penthouse-1,realestateview.com.au
"Guide $852,192",852192.0,"323 Elizabeth St, Kyle Bay NSW 2176",Kyle Bay,0,1,0,Studio,https://www.domain.com.au/property/kyle-bay/studio-2,domain.com.au
"$1,181,202",1181202.0,"854 Victoria St, Kyle Bay NSW 2867",Kyle Bay,1,1,1,Townhouse,https://www.rent.com.au/property/kyle-bay/townhouse-3,rent.com.au
"$1,493,386 ONO",1493386.0,"890 Elizabeth St, Kyle Bay NSW 2866",Kyle Bay,3,4,0,Townhouse,https://www.realestateview.com.au/property/kyle-bay/townhouse-6,realestateview.com.au
"From $2,005,373",2005373.0,"946 Military Rd, Kyle Bay NSW 2528",Kyle Bay,4,4,2,Penthouse,https://www.realestateview.com.au/property/kyle-bay/penthouse-7,realestateview.com.au
"$804,901",804901.0,"227 Main St, Kyle Bay NSW 2659",Kyle Bay,3,2,2,Villa,https://www.rent.com.au/property/kyle-bay/villa-8,rent.com.au
"From $1,662,692",1662692.0,"343 Albert St, Kyle Bay NSW 2927",Kyle Bay,2,1,1,Apartment / Unit / Flat,https://www.domain.com.au/property/kyle-bay/apartment--unit--flat-9,domain.com.au
"$1,787,926",1787926.0,"674 Main St, Kyle Bay NSW 2575",Kyle Bay,2,3,1,Apartment / Unit / Flat,https://www.domain.com.au/property/kyle-bay/apartment--unit--flat-10,domain.com.au
"Guide $1,039,065",1039065.0,"595 Pacific Highway, Kyle Bay NSW 2498",Kyle Bay,2,2,3,Apartment / Unit / Flat,https://www.rent.com.au/property/kyle-bay/apartment--unit--flat-11,rent.com.au
"$1,747,863",1747863.0,"190 Elizabeth St, Kyle Bay NSW 2696",Kyle Bay,2,3,3,Villa,https://www.realestate.com.au/property/kyle-bay/villa-12,realestate.com.au
"$761,873 - $897,129",761873.0,"559 Queen St, Kyle Bay NSW 2929",Kyle Bay,1,2,0,House,https://www.domain.com.au/property/kyle-bay/house-13,domain.com.au
"Guide $803,547",803547.0,"614 Church St, Kyle Bay NSW 2516",Kyle Bay,1,1,1,Villa,https://www.domain.com.au/property/kyle-bay/villa-14,domain.com.au
"$1,643,907 - $1,754,863",1643907.0,"789 Market St, Kyle Bay NSW 2258",Kyle Bay,6,3,4,Penthouse,https://www.rent.com.au/property/kyle-bay/penthouse-15,rent.com.au
"$649,823 - $823,346",649823.0,"772 Church St, Kyle Bay NSW 2659",Kyle Bay,6,4,1,Penthouse,https://www.realestateview.com.au/property/kyle-bay/penthouse-16,realestateview.com.au
"$593,239 - $742,716",593239.0,"550 Princes Highway, Kyle Bay NSW 2791",Kyle Bay,0,1,2,Studio,https://www.domain.com.au/property/kyle-bay/studio-17,domain.com.au
"$2,093,087 - $2,372,937",2093087.0,"830 Main St, Kyle Bay NSW 2874",Kyle Bay,2,1,3,Villa,https://www.realestateview.com.au/property/kyle-bay/villa-19,realestateview.com.au
"$702,790 ONO",702790.0,"724 Queen St, Kyle Bay NSW 2940",Kyle Bay,2,2,0,Villa,https://www.domain.com.au/property/kyle-bay/villa-20,domain.com.au
"$2,025,959",2025959.0,"977 Queen St, Kyle Bay NSW 2877",Kyle Bay,6,4,1,Penthouse,https://www.realestate.com.au/property/kyle-bay/penthouse-21,realestate.com.au
"Guide $801,626",801626.0,"161 William St, Kyle Bay NSW 2310",Kyle Bay,3,4,0,Townhouse,https://www.rent.com.au/property/kyle-bay/townhouse-22,rent.com.au
"$1,707,430",1707430.0,"962 George St, Kyle Bay NSW 2257",Kyle Bay,4,3,0,Penthouse,https://www.realestateview.com.au/property/kyle-bay/penthouse-23,realestateview.com.au
"From $2,225,223",2225223.0,"887 King St, Kyle Bay NSW 2911",Kyle Bay,2,2,0,Apartment / Unit / Flat,https://www.rent.com.au/property/kyle-bay/apartment--unit--flat-24,rent.com.au
