price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$992,813 ONO",992813.0,"809 Market St, Barangaroo NSW 2980",Barangaroo,5,4,1,Penthouse,https://www.domain.com.au/property/barangaroo/penthouse-1,domain.com.au
"$923,251",923251.0,"37 Albert St, Barangaroo NSW 2181",Barangaroo,3,3,3,Villa,https://www.rent.com.au/property/barangaroo/villa-2,rent.com.au
"$1,901,836 - $2,063,605",1901836.0,"870 Albert St, Barangaroo NSW 2099",Barangaroo,3,1,2,Apartment / Unit / Flat,https://www.rent.com.au/property/barangaroo/apartment--unit--flat-4,rent.com.au
"Guide $1,417,120",1417120.0,"872 Ocean Rd, Barangaroo NSW 2149",Barangaroo,3,4,0,Penthouse,https://www.realestateview.com.au/property/barangaroo/penthouse-5,realestateview.com.au
"Guide $2,473,317",2473317.0,"808 Edward St, Barangaroo NSW 2784",Barangaroo,5,1,0,Townhouse,https://www.domain.com.au/property/barangaroo/townhouse-7,domain.com.au
"From $854,507",854507.0,"849 Elizabeth St, Barangaroo NSW 2236",Barangaroo,4,1,0,Townhouse,https://www.realestate.com.au/property/barangaroo/townhouse-8,realestate.com.au
"$2,369,082",2369082.0,"795 George St, Barangaroo NSW 2471",Barangaroo,0,1,1,Studio,https://www.realestateview.com.au/property/barangaroo/studio-9,realestateview.com.au
"$1,760,756 - $2,000,143",1760756.0,"631 Albert St, Barangaroo NSW 2473",Barangaroo,4,4,2,Penthouse,https://www.realestate.com.au/property/barangaroo/penthouse-14,realestate.com.au
"From $2,220,707",2220707.0,"925 Pacific Highway, Barangaroo NSW 2790",Barangaroo,2,1,1,House,https://www.realestate.com.au/property/barangaroo/house-15,realestate.com.au
"Guide $1,582,832",1582832.0,"430 The Boulevarde, Barangaroo NSW 2334",Barangaroo,3,1,0,House,https://www.realestateview.com.au/property/barangaroo/house-16,realestateview.com.au
"Guide $793,358",793358.0,"175 Beach Rd, Barangaroo NSW 2514",Barangaroo,0,1,1,Studio,https://www.realestateview.com.au/property/barangaroo/studio-17,realestateview.com.au
"$2,014,731 ONO",2014731.0,"664 Pacific Highway, Barangaroo NSW 2543",Barangaroo,5,4,0,Apartment / Unit / Flat,https://www.domain.com.au/property/barangaroo/apartment--unit--flat-18,domain.com.au
"$1,369,180 - $1,476,352",1369180.0,"157 Military Rd, Barangaroo NSW 2975",Barangaroo,4,4,1,House,https://www.realestate.com.au/property/barangaroo/house-20,realestate.com.au
"Guide $1,288,863",1288863.0,"579 Albert St, Barangaroo NSW 2791",Barangaroo,3,3,2,Villa,https://www.domain.com.au/property/barangaroo/villa-21,domain.com.au
"$1,204,136 ONO",1204136.0,"898 Military Rd, Barangaroo NSW 2853",Barangaroo,5,4,0,House,https://www.realestate.com.au/property/barangaroo/house-22,realestate.com.au
"$2,095,848",2095848.0,"651 Main St, Barangaroo NSW 2680",Barangaroo,3,4,1,House,https://www.realestateview.com.au/property/barangaroo/house-23,realestateview.com.au
"$2,020,298 ONO",2020298.0,"768 Albert St, Barangaroo NSW 2142",Barangaroo,1,1,0,Townhouse,https://www.rent.com.au/property/barangaroo/townhouse-24,rent.com.au
