price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$630,798 ONO",630798.0,"542 Pacific Highway, Roselands NSW 2462",Roselands,3,2,1,Townhouse,https://www.rent.com.au/property/roselands/townhouse-0,rent.com.au
"$574,157 - $643,387",574157.0,"903 Pacific Highway, Roselands NSW 2062",Roselands,3,4,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/roselands/apartment--unit--flat-1,realestate.com.au
"$1,790,720",1790720.0,"271 Queen St, Roselands NSW 2174",Roselands,3,2,2,Townhouse,https://www.realestateview.com.au/property/roselands/townhouse-2,realestateview.com.au
"Guide $2,312,434",2312434.0,"628 Elizabeth St, Roselands NSW 2150",Roselands,2,3,3,House,https://www.rent.com.au/property/roselands/house-3,rent.com.au
"Guide $1,047,471",1047471.0,"61 High St, Roselands NSW 2241",Roselands,3,4,3,Townhouse,https://www.domain.com.au/property/roselands/townhouse-4,domain.com.au
"$904,561",904561.0,"894 Military Rd, Roselands NSW 2581",Roselands,3,2,0,Townhouse,https://www.realestateview.com.au/property/roselands/townhouse-5,realestateview.com.au
"$1,098,339",1098339.0,"141 Victoria St, Roselands NSW 2877",Roselands,1,2,0,House,https://www.domain.com.au/property/roselands/house-6,domain.com.au
"$1,797,135 ONO",1797135.0,"167 Edward St, Roselands NSW 2332",Roselands,2,1,0,Townhouse,https://www.realestateview.com.au/property/roselands/townhouse-7,realestateview.com.au
"Guide $1,547,911",1547911.0,"273 Victoria St, Roselands NSW 2132",Roselands,6,4,1,Penthouse,https://www.realestateview.com.au/property/roselands/penthouse-8,realestateview.com.au
"Guide $1,402,670",1402670.0,"48 The Boulevarde, Roselands NSW 2017",Roselands,6,2,3,Penthouse,https://www.realestate.com.au/property/roselands/penthouse-9,realestate.com.au
"$622,244 - $816,710",622244.0,"867 Victoria St, Roselands NSW 2937",Roselands,3,2,2,Villa,https://www.domain.com.au/property/roselands/villa-10,domain.com.au
"Guide $1,036,459",1036459.0,"756 High St, Roselands NSW 2416",Roselands,3,3,1,Townhouse,https://www.realestateview.com.au/property/roselands/townhouse-11,realestateview.com.au
"Guide $1,738,274",1738274.0,"435 James St, Roselands NSW 2981",Roselands,0,1,0,Studio,https://www.realestateview.com.au/property/roselands/studio-12,realestateview.com.au
"Guide $786,279",786279.0,"123 Pacific Highway, Roselands NSW 2313",Roselands,4,4,1,House,https://www.realestateview.com.au/property/roselands/house-13,realestateview.com.au
"$1,888,217",1888217.0,"217 Market St, Roselands NSW 2361",Roselands,3,2,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/roselands/apartment--unit--flat-14,realestateview.com.au
"$2,197,602",2197602.0,"436 Albert St, Roselands NSW 2366",Roselands,0,1,0,Studio,https://www.realestate.com.au/property/roselands/studio-15,realestate.com.au
"$1,099,130 - $1,229,845",1099130.0,"280 Park Ave, Roselands NSW 2418",Roselands,2,1,2,Villa,https://www.rent.com.au/property/roselands/villa-16,rent.com.au
"Guide $2,220,828",2220828.0,"224 High St, Roselands NSW 2601",Roselands,0,1,2,Studio,https://www.realestate.com.au/property/roselands/studio-17,realestate.com.au
"$2,221,971 ONO",2221971.0,"822 James St, Roselands NSW 2737",Roselands,6,3,1,Penthouse,https://www.realestate.com.au/property/roselands/penthouse-18,realestate.com.au
"$2,243,538",2243538.0,"992 Park Ave, Roselands NSW 2094",Roselands,1,2,3,Villa,https://www.domain.com.au/property/roselands/villa-19,domain.com.au
"$2,184,125 - $2,406,526",2184125.0,"393 Elizabeth St, Roselands NSW 2159",Roselands,2,2,1,House,https://www.realestateview.com.au/property/roselands/house-20,realestateview.com.au
"$2,079,742 ONO",2079742.0,"947 The Boulevarde, Roselands NSW 2693",Roselands,3,1,1,Villa,https://www.realestateview.com.au/property/roselands/villa-24,realestateview.com.au
