price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,676,035",1676035.0,"372 King St, Petersham NSW 2178",Petersham,4,2,1,Townhouse,https://www.rent.com.au/property/petersham/townhouse-0,rent.com.au
"$2,106,929 - $2,306,344",2106929.0,"829 Victoria St, Petersham NSW 2358",Petersham,1,1,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/petersham/apartment--unit--flat-1,realestate.com.au
"Guide $2,464,795",2464795.0,"108 The Boulevarde, Petersham NSW 2944",Petersham,2,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/petersham/apartment--unit--flat-4,rent.com.au
"$2,305,444 ONO",2305444.0,"995 George St, Petersham NSW 2756",Petersham,1,1,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/petersham/apartment--unit--flat-5,realestate.com.au
"$1,369,648",1369648.0,"286 Military Rd, Petersham NSW 2882",Petersham,2,3,1,Apartment / Unit / Flat,https://www.domain.com.au/property/petersham/apartment--unit--flat-7,domain.com.au
"$1,239,526 - $1,403,361",1239526.0,"258 Queen St, Petersham NSW 2616",Petersham,3,3,1,House,https://www.domain.com.au/property/petersham/house-8,domain.com.au
"$1,597,391 - $1,738,872",1597391.0,"958 Ocean Rd, Petersham NSW 2978",Petersham,3,4,2,Townhouse,https://www.realestateview.com.au/property/petersham/townhouse-9,realestateview.com.au
"$1,824,376 ONO",1824376.0,"829 Elizabeth St, Petersham NSW 2453",Petersham,4,3,3,Townhouse,https://www.realestateview.com.au/property/petersham/townhouse-10,realestateview.com.au
"$1,653,280 - $1,713,970",1653280.0,"324 Market St, Petersham NSW 2554",Petersham,6,2,2,Penthouse,https://www.rent.com.au/property/petersham/penthouse-11,rent.com.au
"From $1,681,948",1681948.0,"127 Pacific Highway, Petersham NSW 2238",Petersham,3,3,1,Townhouse,https://www.realestate.com.au/property/petersham/townhouse-12,realestate.com.au
"$606,126",606126.0,"551 The Boulevarde, Petersham NSW 2394",Petersham,0,1,1,Studio,https://www.domain.com.au/property/petersham/studio-13,domain.com.au
"$2,492,187",2492187.0,"51 William St, Petersham NSW 2154",Petersham,3,1,0,Villa,https://www.rent.com.au/property/petersham/villa-14,rent.com.au
"From $2,476,034",2476034.0,"420 Ocean Rd, Petersham NSW 2974",Petersham,5,3,1,Penthouse,https://www.domain.com.au/property/petersham/penthouse-15,domain.com.au
"$1,806,577",1806577.0,"975 Queen St, Petersham NSW 2679",Petersham,3,1,1,Townhouse,https://www.realestateview.com.au/property/petersham/townhouse-16,realestateview.com.au
"Guide $1,974,527",1974527.0,"486 High St, Petersham NSW 2497",Petersham,4,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/petersham/apartment--unit--flat-17,rent.com.au
"$635,014 - $785,661",635014.0,"557 Beach Rd, Petersham NSW 2760",Petersham,2,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/petersham/apartment--unit--flat-18,rent.com.au
"$2,114,251 ONO",2114251.0,"392 Railway St, Petersham NSW 2469",Petersham,0,1,4,Studio,https://www.realestate.com.au/property/petersham/studio-19,realestate.com.au
"$2,023,622",2023622.0,"534 Railway St, Petersham NSW 2803",Petersham,3,1,2,Villa,https://www.realestateview.com.au/property/petersham/villa-20,realestateview.com.au
"$1,773,137",1773137.0,"972 Queen St, Petersham NSW 2381",Petersham,3,1,1,Apartment / Unit / Flat,https://www.domain.com.au/property/petersham/apartment--unit--flat-21,domain.com.au
"Guide $2,172,589",2172589.0,"854 Elizabeth St, Petersham NSW 2085",Petersham,0,1,4,Studio,https://www.domain.com.au/property/petersham/studio-22,domain.com.au
"$791,877 ONO",791877.0,"413 Main St, Petersham NSW 2628",Petersham,0,1,2,Studio,https://www.domain.com.au/property/petersham/studio-24,domain.com.au
