price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$967,377 ONO",967377.0,"36 Ocean Rd, East Hills NSW 2829",East Hills,2,1,2,Townhouse,https://www.domain.com.au/property/east-hills/townhouse-0,domain.com.au
"$2,217,145 - $2,385,763",2217145.0,"540 William St, East Hills NSW 2280",East Hills,3,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/east-hills/apartment--unit--flat-1,realestateview.com.au
"$2,348,688",2348688.0,"29 Albert St, East Hills NSW 2830",East Hills,0,1,4,Studio,https://www.realestateview.com.au/property/east-hills/studio-2,realestateview.com.au
"$1,634,259 - $1,855,184",1634259.0,"460 Beach Rd, East Hills NSW 2809",East Hills,5,3,0,House,https://www.rent.com.au/property/east-hills/house-3,rent.com.au
"Guide $1,810,438",1810438.0,"925 King St, East Hills NSW 2094",East Hills,4,2,2,House,https://www.realestate.com.au/property/east-hills/house-4,realestate.com.au
"$1,148,189",1148189.0,"589 Beach Rd, East Hills NSW 2852",East Hills,6,2,0,Penthouse,https://www.realestate.com.au/property/east-hills/penthouse-5,realestate.com.au
"Guide $1,252,015",1252015.0,"573 Beach Rd, East Hills NSW 2198",East Hills,2,2,1,House,https://www.realestateview.com.au/property/east-hills/house-6,realestateview.com.au
"$2,267,269 - $2,454,395",2267269.0,"953 King St, East Hills NSW 2143",East Hills,5,2,3,Penthouse,https://www.rent.com.au/property/east-hills/penthouse-7,rent.com.au
"$1,659,405 - $1,900,757",1659405.0,"268 King St, East Hills NSW 2065",East Hills,3,3,1,House,https://www.realestate.com.au/property/east-hills/house-8,realestate.com.au
"Guide $711,385",711385.0,"891 Market St, East Hills NSW 2978",East Hills,1,2,2,Villa,https://www.domain.com.au/property/east-hills/villa-9,domain.com.au
"$520,861",520861.0,"471 Main St, East Hills NSW 2417",East Hills,1,1,1,House,https://www.rent.com.au/property/east-hills/house-10,rent.com.au
"From $1,626,774",1626774.0,"202 Princes Highway, East Hills NSW 2350",East Hills,3,3,0,Villa,https://www.domain.com.au/property/east-hills/villa-11,domain.com.au
"$2,365,093",2365093.0,"350 Park Ave, East Hills NSW 2866",East Hills,1,2,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/east-hills/apartment--unit--flat-12,realestate.com.au
"Guide $857,952",857952.0,"295 Elizabeth St, East Hills NSW 2113",East Hills,0,1,1,Studio,https://www.rent.com.au/property/east-hills/studio-13,rent.com.au
"$622,471 - $910,900",622471.0,"588 Market St, East Hills NSW 2192",East Hills,2,2,2,House,https://www.realestateview.com.au/property/east-hills/house-14,realestateview.com.au
"From $1,899,403",1899403.0,"613 Victoria St, East Hills NSW 2298",East Hills,3,1,0,House,https://www.domain.com.au/property/east-hills/house-15,domain.com.au
"From $1,062,128",1062128.0,"251 William St, East Hills NSW 2847",East Hills,1,2,1,Villa,https://www.realestate.com.au/property/east-hills/villa-16,realestate.com.au
"$2,468,280",2468280.0,"722 Albert St, East Hills NSW 2170",East Hills,3,3,3,Villa,https://www.realestate.com.au/property/east-hills/villa-17,realestate.com.au
"From $1,726,812",1726812.0,"411 Victoria St, East Hills NSW 2663",East Hills,0,1,0,Studio,https://www.realestateview.com.au/property/east-hills/studio-18,realestateview.com.au
"$2,141,140 ONO",2141140.0,"234 Victoria St, East Hills NSW 2004",East Hills,4,3,0,Penthouse,https://www.realestateview.com.au/property/east-hills/penthouse-19,realestateview.com.au
"From $528,968",528968.0,"740 Pacific Highway, East Hills NSW 2592",East Hills,0,1,0,Studio,https://www.realestateview.com.au/property/east-hills/studio-20,realestateview.com.au
"Guide $1,574,703",1574703.0,"753 Railway St, East Hills NSW 2526",East Hills,3,1,4,Villa,https://www.domain.com.au/property/east-hills/villa-21,domain.com.au
"$1,178,184",1178184.0,"190 Beach Rd, East Hills NSW 2592",East Hills,4,4,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/east-hills/apartment--unit--flat-22,realestateview.com.au
"$2,280,143",2280143.0,"779 Albert St, East Hills NSW 2501",East Hills,0,1,1,Studio,https://www.realestate.com.au/property/east-hills/studio-23,realestate.com.au
"From $875,849",875849.0,"516 Queen St, East Hills NSW 2507",East Hills,4,3,2,Villa,https://www.realestateview.com.au/property/east-hills/villa-24,realestateview.com.au
