price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,878,892",1878892.0,"166 Church St, Edgecliff NSW 2078",Edgecliff,4,4,1,Penthouse,https://www.domain.com.au/property/edgecliff/penthouse-0,domain.com.au
"Guide $1,952,738",1952738.0,"246 Beach Rd, Edgecliff NSW 2580",Edgecliff,2,1,2,Villa,https://www.domain.com.au/property/edgecliff/villa-2,domain.com.au
"From $1,170,201",1170201.0,"846 Military Rd, Edgecliff NSW 2863",Edgecliff,1,1,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/edgecliff/apartment--unit--flat-3,realestate.com.au
"From $555,286",555286.0,"566 George St, Edgecliff NSW 2084",Edgecliff,0,1,4,Studio,https://www.realestateview.com.au/property/edgecliff/studio-4,realestateview.com.au
"From $2,194,645",2194645.0,"98 Queen St, Edgecliff NSW 2634",Edgecliff,0,1,4,Studio,https://www.realestate.com.au/property/edgecliff/studio-5,realestate.com.au
"$1,750,624 ONO",1750624.0,"923 Edward St, Edgecliff NSW 2840",Edgecliff,3,3,3,Apartment / Unit / Flat,https://www.domain.com.au/property/edgecliff/apartment--unit--flat-6,domain.com.au
"$1,138,702",1138702.0,"534 George St, Edgecliff NSW 2735",Edgecliff,0,1,0,Studio,https://www.domain.com.au/property/edgecliff/studio-8,domain.com.au
"From $662,219",662219.0,"853 Pacific Highway, Edgecliff NSW 2278",Edgecliff,4,1,1,House,https://www.rent.com.au/property/edgecliff/house-10,rent.com.au
"$1,305,339 ONO",1305339.0,"540 High St, Edgecliff NSW 2085",Edgecliff,0,1,0,Studio,https://www.realestate.com.au/property/edgecliff/studio-11,realestate.com.au
"$1,311,543 - $1,380,042",1311543.0,"65 Albert St, Edgecliff NSW 2888",Edgecliff,3,1,0,House,https://www.realestate.com.au/property/edgecliff/house-12,realestate.com.au
"$1,933,252 - $2,093,561",1933252.0,"450 Victoria St, Edgecliff NSW 2352",Edgecliff,3,4,0,Townhouse,https://www.domain.com.au/property/edgecliff/townhouse-13,domain.com.au
"From $2,421,959",2421959.0,"274 Railway St, Edgecliff NSW 2011",Edgecliff,0,1,0,Studio,https://www.domain.com.au/property/edgecliff/studio-14,domain.com.au
"From $1,152,652",1152652.0,"668 Church St, Edgecliff NSW 2216",Edgecliff,3,2,2,Penthouse,https://www.realestate.com.au/property/edgecliff/penthouse-15,realestate.com.au
"From $1,633,241",1633241.0,"849 Railway St, Edgecliff NSW 2502",Edgecliff,3,1,1,Villa,https://www.realestateview.com.au/property/edgecliff/villa-17,realestateview.com.au
"$1,327,870",1327870.0,"371 Beach Rd, Edgecliff NSW 2964",Edgecliff,6,3,0,Penthouse,https://www.realestateview.com.au/property/edgecliff/penthouse-18,realestateview.com.au
"$995,690 - $1,251,762",995690.0,"797 Queen St, Edgecliff NSW 2715",Edgecliff,2,3,0,Apartment / Unit / Flat,https://www.rent.com.au/property/edgecliff/apartment--unit--flat-19,rent.com.au
"$1,986,117 ONO",1986117.0,"252 Church St, Edgecliff NSW 2768",Edgecliff,2,1,0,Apartment / Unit / Flat,https://www.domain.com.au/property/edgecliff/apartment--unit--flat-20,domain.com.au
"From $842,662",842662.0,"524 Military Rd, Edgecliff NSW 2081",Edgecliff,2,1,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/edgecliff/apartment--unit--flat-21,realestateview.com.au
"Guide $1,358,169",1358169.0,"626 Church St, Edgecliff NSW 2266",Edgecliff,3,1,1,Villa,https://www.domain.com.au/property/edgecliff/villa-22,domain.com.au
"From $847,636",847636.0,"771 Church St, Edgecliff NSW 2622",Edgecliff,0,1,0,Studio,https://www.realestateview.com.au/property/edgecliff/studio-24,realestateview.com.au
