price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $3,096,620",3096620.0,"242 The Boulevarde, Woollahra NSW 2364",Woollahra,0,1,2,Studio,https://www.domain.com.au/property/woollahra/studio-0,domain.com.au
"$4,726,405",4726405.0,"936 Pacific Highway, Woollahra NSW 2380",Woollahra,3,1,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/woollahra/apartment--unit--flat-1,realestate.com.au
"$4,876,997 - $4,954,745",4876997.0,"627 James St, Woollahra NSW 2334",Woollahra,2,3,1,Terrace,https://www.realestate.com.au/property/woollahra/terrace-3,realestate.com.au
"$2,103,260 ONO",2103260.0,"680 Market St, Woollahra NSW 2245",Woollahra,4,1,1,House,https://www.realestate.com.au/property/woollahra/house-4,realestate.com.au
"Guide $2,260,459",2260459.0,"148 Military Rd, Woollahra NSW 2795",Woollahra,0,1,3,Studio,https://www.domain.com.au/property/woollahra/studio-7,domain.com.au
"$2,063,484",2063484.0,"18 James St, Woollahra NSW 2810",Woollahra,0,1,3,Studio,https://www.realestate.com.au/property/woollahra/studio-11,realestate.com.au
"$4,163,613 ONO",4163613.0,"446 Main St, Woollahra NSW 2999",Woollahra,3,3,1,House,https://www.realestate.com.au/property/woollahra/house-14,realestate.com.au
"$3,916,078 - $4,124,978",3916078.0,"20 Church St, Woollahra NSW 2452",Woollahra,2,2,2,Apartment / Unit / Flat,https://www.domain.com.au/property/woollahra/apartment--unit--flat-16,domain.com.au
"From $2,726,926",2726926.0,"160 Queen St, Woollahra NSW 2446",Woollahra,3,3,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/woollahra/apartment--unit--flat-18,realestateview.com.au
"$4,630,942 - $4,816,514",4630942.0,"870 Military Rd, Woollahra NSW 2815",Woollahra,4,3,2,House,https://www.rent.com.au/property/woollahra/house-20,rent.com.au
"Guide $2,659,001",2659001.0,"339 Albert St, Woollahra NSW 2498",Woollahra,0,1,1,Studio,https://www.realestateview.com.au/property/woollahra/studio-21,realestateview.com.au
"From $3,065,070",3065070.0,"356 King St, Woollahra NSW 2899",Woollahra,0,1,2,Studio,https://www.domain.com.au/property/woollahra/studio-24,domain.com.au
"$5,458,718",5458718.0,"645 Railway St, Woollahra NSW 2978",Woollahra,2,3,2,Apartment / Unit / Flat,https://www.rent.com.au/property/woollahra/apartment--unit--flat-0,rent.com.au
"From $2,039,961",2039961.0,"635 Albert St, Woollahra NSW 2205",Woollahra,4,1,2,Terrace,https://www.realestate.com.au/property/woollahra/terrace-1,realestate.com.au
"From $3,414,156",3414156.0,"63 Ocean Rd, Woollahra NSW 2197",Woollahra,4,4,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/woollahra/apartment--unit--flat-3,realestateview.com.au
"$4,770,650 - $4,899,262",4770650.0,"142 Beach Rd, Woollahra NSW 2981",Woollahra,5,3,2,Penthouse,https://www.domain.com.au/property/woollahra/penthouse-6,domain.com.au
"$4,682,287 - $4,824,229",4682287.0,"313 Princes Highway, Woollahra NSW 2735",Woollahra,3,3,4,Penthouse,https://www.realestate.com.au/property/woollahra/penthouse-8,realestate.com.au
"$4,877,546",4877546.0,"162 Beach Rd, Woollahra NSW 2872",Woollahra,0,1,3,Studio,https://www.realestateview.com.au/property/woollahra/studio-10,realestateview.com.au
"$3,323,215 ONO",3323215.0,"642 Elizabeth St, Woollahra NSW 2887",Woollahra,3,1,0,Terrace,https://www.realestateview.com.au/property/woollahra/terrace-12,realestateview.com.au
"$4,785,779 - $4,838,187",4785779.0,"885 George St, Woollahra NSW 2310",Woollahra,3,4,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/woollahra/apartment--unit--flat-14,realestate.com.au
"$3,818,644",3818644.0,"525 William St, Woollahra NSW 2118",Woollahra,5,3,0,Terrace,https://www.realestateview.com.au/property/woollahra/terrace-15,realestateview.com.au
"$4,350,292 ONO",4350292.0,"626 Railway St, Woollahra NSW 2055",Woollahra,3,4,2,Penthouse,https://www.realestateview.com.au/property/woollahra/penthouse-16,realestateview.com.au
"$5,416,662 ONO",5416662.0,"647 The Boulevarde, Woollahra NSW 2352",Woollahra,3,3,1,Apartment / Unit / Flat,https://www.rent.com.au/property/woollahra/apartment--unit--flat-22,rent.com.au
"From $2,246,061",2246061.0,"156 Queen St, Woollahra NSW 2457",Woollahra,6,2,1,Penthouse,https://www.rent.com.au/property/woollahra/penthouse-23,rent.com.au
