price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,412,511 - $1,704,799",1412511.0,"993 Park Ave, Smithfield NSW 2783",Smithfield,4,2,1,Villa,https://www.realestateview.com.au/property/smithfield/villa-0,realestateview.com.au
"$2,360,354 - $2,521,244",2360354.0,"628 King St, Smithfield NSW 2379",Smithfield,2,3,1,Townhouse,https://www.realestate.com.au/property/smithfield/townhouse-2,realestate.com.au
"$968,639 ONO",968639.0,"762 Elizabeth St, Smithfield NSW 2205",Smithfield,1,2,0,Townhouse,https://www.domain.com.au/property/smithfield/townhouse-3,domain.com.au
"$1,007,474",1007474.0,"2 Pacific Highway, Smithfield NSW 2821",Smithfield,0,1,1,Studio,https://www.realestate.com.au/property/smithfield/studio-4,realestate.com.au
"$1,501,574 ONO",1501574.0,"324 Albert St, Smithfield NSW 2940",Smithfield,4,4,1,Villa,https://www.realestateview.com.au/property/smithfield/villa-5,realestateview.com.au
"$1,477,924",1477924.0,"871 Main St, Smithfield NSW 2861",Smithfield,4,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/smithfield/apartment--unit--flat-6,domain.com.au
"$2,249,337 ONO",2249337.0,"793 Park Ave, Smithfield NSW 2736",Smithfield,4,2,2,Townhouse,https://www.realestateview.com.au/property/smithfield/townhouse-7,realestateview.com.au
"From $2,225,902",2225902.0,"856 Beach Rd, Smithfield NSW 2823",Smithfield,2,1,0,Villa,https://www.domain.com.au/property/smithfield/villa-9,domain.com.au
"From $2,278,053",2278053.0,"166 High St, Smithfield NSW 2928",Smithfield,0,1,3,Studio,https://www.rent.com.au/property/smithfield/studio-10,rent.com.au
"$836,376 - $1,067,912",836376.0,"605 William St, Smithfield NSW 2176",Smithfield,5,2,0,Penthouse,https://www.rent.com.au/property/smithfield/penthouse-12,rent.com.au
"From $2,166,851",2166851.0,"440 Edward St, Smithfield NSW 2923",Smithfield,4,2,0,Penthouse,https://www.domain.com.au/property/smithfield/penthouse-13,domain.com.au
"Guide $1,256,468",1256468.0,"20 William St, Smithfield NSW 2980",Smithfield,1,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/smithfield/apartment--unit--flat-14,realestateview.com.au
"$849,887 ONO",849887.0,"48 Railway St, Smithfield NSW 2690",Smithfield,6,3,1,Penthouse,https://www.realestateview.com.au/property/smithfield/penthouse-15,realestateview.com.au
"$805,874 - $907,844",805874.0,"678 Main St, Smithfield NSW 2854",Smithfield,0,1,1,Studio,https://www.rent.com.au/property/smithfield/studio-16,rent.com.au
"Guide $1,446,062",1446062.0,"55 High St, Smithfield NSW 2354",Smithfield,0,1,1,Studio,https://www.realestateview.com.au/property/smithfield/studio-17,realestateview.com.au
"Guide $975,629",975629.0,"671 Military Rd, Smithfield NSW 2161",Smithfield,0,1,1,Studio,https://www.realestate.com.au/property/smithfield/studio-18,realestate.com.au
"$1,076,664 ONO",1076664.0,"498 Military Rd, Smithfield NSW 2660",Smithfield,2,2,1,Townhouse,https://www.domain.com.au/property/smithfield/townhouse-19,domain.com.au
"$1,898,839 - $2,029,795",1898839.0,"422 The Boulevarde, Smithfield NSW 2757",Smithfield,2,3,2,Townhouse,https://www.domain.com.au/property/smithfield/townhouse-20,domain.com.au
"Guide $1,839,330",1839330.0,"939 James St, Smithfield NSW 2669",Smithfield,4,2,2,Penthouse,https://www.rent.com.au/property/smithfield/penthouse-21,rent.com.au
"Guide $1,229,483",1229483.0,"17 William St, Smithfield NSW 2300",Smithfield,4,2,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/smithfield/apartment--unit--flat-22,realestateview.com.au
"$2,013,617 ONO",2013617.0,"594 The Boulevarde, Smithfield NSW 2311",Smithfield,5,1,2,Apartment / Unit / Flat,https://www.domain.com.au/property/smithfield/apartment--unit--flat-23,domain.com.au
"Guide $639,054",639054.0,"703 Princes Highway, Smithfield NSW 2131",Smithfield,3,3,2,Townhouse,https://www.realestate.com.au/property/smithfield/townhouse-24,realestate.com.au
